date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:01:27	44600/44600	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-ae38%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html	(from )
12:01:28	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%225e89b834-7f%22	https://www.bootstrapdash.com/robots.txt		(from )
12:01:29	163361/163361	---MCZ	200	added ('OK')	text/css	etag:W/%225eff14c6-27e21%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/vendors/mdi/css/materialdesignicons.min.css	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/vendors/mdi/css/materialdesignicons.min.css	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:30	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%225eff14c6-a26%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/vendors/css/vendor.bundle.base.css	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/vendors/css/vendor.bundle.base.css	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:31	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225eff14c6-7918%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/vendors/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/vendors/font-awesome/css/font-awesome.min.css	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:33	15731/15731	---MCZ	200	added ('OK')	text/css	etag:W/%225eff14c6-3d73%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/vendors/bootstrap-datepicker/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/vendors/bootstrap-datepicker/bootstrap-datepicker.min.css	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:34	1039/1039	---M--	200	added ('OK')	image/png	etag:%225eff14c6-40f%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/images/favicon.png	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/images/favicon.png	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:35	812262/812262	---MCZ	200	added ('OK')	text/css	etag:W/%225f02fc32-c64e6%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/css/demo_1/style.css	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/css/demo_1/style.css	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:36	16811/16811	---M--	200	added ('OK')	image/jpeg	etag:%225eff14c6-41ab%22	https://www.bootstrapdash.com/demo/aquaui/template/assets/images/faces/face1.jpg	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/assets/images/faces/face1.jpg	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:01:43	45257/45257	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-b0c9%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/boxed-layout.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/boxed-layout.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:47	45262/45262	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-b0ce%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-collapsed.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-collapsed.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:48	45282/45282	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-b0e2%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-hidden.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-hidden.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:49	45276/45276	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-b0dc%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-hidden-overlay.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-hidden-overlay.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:49	45258/45258	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-b0ca%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-fixed.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/layout/sidebar-fixed.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:49	52507/52507	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-cd1b%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/accordions.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/accordions.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:50	57243/57243	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-df9b%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/buttons.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/buttons.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:50	44145/44145	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-ac71%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/badges.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/badges.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:51	43734/43734	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-aad6%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/breadcrumbs.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/breadcrumbs.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:51	80547/80547	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-13aa3%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/dropdowns.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/dropdowns.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
