date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:19	67793/67793	---M-Z	200	added ('OK')	text/html	etag:%2240a11bd-108d1-5749f514feaeb-gzip%22	https://thememakker.com/templates/buzzer/sidebar/index.html	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/index.html	(from )
16:17:20	114/114	---M--	200	added ('OK')	text/plain	etag:%223dc02cf-72-5705163c3ee00%22	https://thememakker.com/robots.txt		(from )
16:17:20	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2240a11b4-47e-572cc213b9100%22	https://thememakker.com/templates/buzzer/sidebar/favicon.ico	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/favicon.ico	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:21	58558/58558	---M--	200	added ('OK')	text/css	etag:%224220d45-e4be-571f4465cd080%22	https://thememakker.com/templates/buzzer/assets/plugins/animate-css/vivify.min.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/plugins/animate-css/vivify.min.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:21	31014/31014	---M--	200	added ('OK')	text/css	etag:%224220e4b-7926-571b3ae207280%22	https://thememakker.com/templates/buzzer/assets/plugins/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/plugins/font-awesome/css/font-awesome.min.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:22	3186/3186	---M--	200	added ('OK')	text/css	etag:%224220de9-c72-5715ee7f4d500%22	https://thememakker.com/templates/buzzer/assets/plugins/charts-c3/plugin.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/plugins/charts-c3/plugin.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:22	153045/153045	---M--	200	added ('OK')	text/css	etag:%224220d4c-255d5-56f31533adb00%22	https://thememakker.com/templates/buzzer/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:22	6635/6635	---M--	200	added ('OK')	text/css	etag:%224221657-19eb-53517a945d800%22	https://thememakker.com/templates/buzzer/assets/plugins/jvectormap/jvectormap-2.0.3.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/plugins/jvectormap/jvectormap-2.0.3.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:22	50110/50110	---M-Z	200	added ('OK')	text/html	etag:%2240a0f6f-c3be-5749f50d93be7-gzip%22	https://thememakker.com/templates/buzzer/sidebar/app-calendar.html	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/app-calendar.html	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:23	197452/197452	---M--	200	added ('OK')	text/css	etag:%2241605a6-3034c-587e5bf70cf8a%22	https://thememakker.com/templates/buzzer/sidebar/assets/css/main.css	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/assets/css/main.css	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:23	52806/52806	---M-Z	200	added ('OK')	text/html	etag:%2240a0f71-ce46-5749f513dbe8b-gzip%22	https://thememakker.com/templates/buzzer/sidebar/app-chat.html	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/app-chat.html	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:23	63228/63228	---M-Z	200	added ('OK')	text/html	etag:%2240a0f85-f6fc-5749f512617d1-gzip%22	https://thememakker.com/templates/buzzer/sidebar/app-email.html	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/sidebar/app-email.html	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:23	2228/2228	---M--	200	added ('OK')	image/jpeg	etag:%224220d39-8b4-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar2.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar2.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:23	2158/2158	---M--	200	added ('OK')	image/jpeg	etag:%224220d3a-86e-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar3.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar3.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:24	11582/11582	---M--	200	added ('OK')	image/png	etag:%224202005-2d3e-5740e9e6f1f00%22	https://thememakker.com/templates/buzzer/assets/images/user.png	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/user.png	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	77676/77676	---M--	200	added ('OK')	image/jpeg	etag:%224220503-12f6c-5740a06cac400%22	https://thememakker.com/templates/buzzer/assets/images/gallery/3.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/gallery/3.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	2077/2077	---M--	200	added ('OK')	image/jpeg	etag:%224220d37-81d-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar1.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar1.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	2049/2049	---M--	200	added ('OK')	image/jpeg	etag:%224220d3b-801-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar4.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar4.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	2154/2154	---M--	200	added ('OK')	image/jpeg	etag:%224220d3c-86a-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar5.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar5.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	2267/2267	---M--	200	added ('OK')	image/jpeg	etag:%224220d3d-8db-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar6.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar6.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	42204/42204	---M--	200	added ('OK')	image/jpeg	etag:%2242204fb-a4dc-5740a06cac400%22	https://thememakker.com/templates/buzzer/assets/images/gallery/2.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/gallery/2.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
16:17:25	2128/2128	---M--	200	added ('OK')	image/jpeg	etag:%224220d3e-850-5740a005ad100%22	https://thememakker.com/templates/buzzer/assets/images/xs/avatar7.jpg	C:/My%20Web%20Sites/TableTheme%20Templ/thememakker.com/templates/buzzer/assets/images/xs/avatar7.jpg	(from https://thememakker.com/templates/buzzer/sidebar/index.html)
